BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
2960,BrM,1,5359,1038,20/08/2012,8,2012,06:50,Feeding_Offspring,10,60,3250,2,33263.49,33263.49,1,1,0,FI,2,CN,116,TRUE,1,2,5
5267,BrF,0,5359,1038,20/08/2012,8,2012,06:50,Feeding_Offspring,4,60,1705,2,33263.49,33263.49,1,1,0,FI,2,CN,116,TRUE,1,2,5
1763,BrF,0,5313,1040,21/08/2012,8,2012,07:38,Feeding_Offspring,4,60,3727,3,17139.23,17139.23,1,1,1,FI,2,CN,116,TRUE,1,0,3
5828,BrM,1,5313,1040,21/08/2012,8,2012,07:38,Feeding_Offspring,7,60,310,3,17139.23,17139.23,1,1,1,FI,2,CN,116,TRUE,1,0,3
4947,BrM,1,5310,1042,23/08/2012,8,2012,07:38,Feeding_Offspring,11,60,2142,81,9612.39,9612.39,1,1,0,F,1,CN,116,TRUE,0,0,2
5537,BrF,0,5310,1042,23/08/2012,8,2012,07:38,Feeding_Offspring,10,60,1002,81,9612.39,9612.39,1,1,0,F,1,CN,116,TRUE,0,0,2
3451,BrF,0,5330,1044,25/08/2012,8,2012,08:14,Feeding_Offspring,11,60,2691,138,9700.18,9700.18,1,1,0,F,1,CN,116,TRUE,1,0,3
1489,BrM,1,5362,1047,28/08/2012,8,2012,07:25,Feeding_Offspring,3,60,4778,118,13779.41,13779.41,2,2,0,FI,1,CN,116,TRUE,1,0,3
3698,BrF,0,5362,1047,28/08/2012,8,2012,07:25,Feeding_Offspring,5,60,2822,118,13779.41,13779.41,2,2,0,FI,1,CN,116,TRUE,1,0,3
1763,BrF,0,5313,1048,28/08/2012,8,2012,15:01,Feeding_Offspring,1,60,3734,3,17139.23,17139.23,1,1,1,F,2,CN,116,TRUE,1,0,3
5828,BrM,1,5313,1048,28/08/2012,8,2012,15:01,Feeding_Offspring,3,60,317,3,17139.23,17139.23,1,1,1,F,2,CN,116,TRUE,1,0,3
5513,BrM,1,5321,1050,29/08/2012,8,2012,11:07,Feeding_Offspring,2,60,1020,47,27365.83,27365.83,1,1,0,FI,1,CN,116,TRUE,1,1,4
3453,BrF,0,5355,1052,29/08/2012,8,2012,15:49,Feeding_Offspring,2,75,2875,60,13812.64,13812.64,1,1,1,FI,2,CN,116,TRUE,1,0,3
5523,BrM,1,5355,1052,29/08/2012,8,2012,15:49,Feeding_Offspring,6,75,1017,60,13812.64,13812.64,1,1,1,FI,2,CN,116,TRUE,1,0,3
1868,BrM,1,5336,1054,03/09/2012,9,2012,07:46,Feeding_Offspring,6,60,3313,46,18560.02,18560.02,1,1,1,FI,2,CN,116,TRUE,1,0,3
4973,BrF,0,5336,1054,03/09/2012,9,2012,07:46,Feeding_Offspring,3,60,2108,46,18560.02,18560.02,1,1,1,FI,2,CN,116,TRUE,1,0,3
5549,BrF,0,5338,1055,03/09/2012,9,2012,09:01,Feeding_Offspring,18,60,991,479,14325.46,14325.46,2,2,2,F,1,CN,116,TRUE,1,0,3
5612,BrM,1,5338,1055,03/09/2012,9,2012,09:01,Feeding_Offspring,12,60,664,479,14325.46,14325.46,2,2,2,F,1,CN,116,TRUE,1,0,3
3453,BrF,0,5355,1056,05/09/2012,9,2012,11:39,Feeding_Offspring,7,60,2882,60,13812.64,13812.64,1,1,1,F,2,CN,116,TRUE,1,0,3
